policy,actual_zero_history,users,positive_users,NDCG10,Recall10,underseen,UNKNOWN
G-fixed2:count:B100:P2:Q25,False,124,117,0.03378471801895639,0.02812502461565731,0.28951612903225804,0.9629032258064517
G-fixed2:count:B100:P2:Q25,True,56,56,0.28482368567000654,0.08039818653028138,1.0,0.5732142857142858
flat:count:B100,False,124,117,0.04013753490145481,0.035612751681061594,0.05564516129032259,0.9508064516129032
flat:count:B100,True,56,56,0.23068294275172743,0.060989198523294534,1.0,0.6910714285714287
full-shared,False,124,117,0.0,0.0,0.23306451612903228,1.0
full-shared,True,56,56,0.21363712748738323,0.054271364265890285,1.0,0.7285714285714285
popularity10,False,124,117,0.050319113326833184,0.05170319699724849,0.046774193548387105,0.9516129032258066
popularity10,True,56,56,0.261022113213513,0.0665962144094234,1.0,0.6285714285714287
