model,support,ratings,users,MAE_micro,RMSE_micro,MAE_macro,RMSE_user_MSE
bayes,ALS-item,8351,179,0.7317575299511128,0.9616252396576407,0.7089400030268551,0.9235297164777725
bayes,no-ALS-item,2547,159,0.7998809411540891,1.0430011640197892,0.8082994467244118,1.0237143291197273
content,ALS-item,8351,179,0.709820192526596,0.930070885649229,0.6655004092983663,0.8812135796712456
content,no-ALS-item,2547,159,0.7782247605169414,1.0095768049871339,0.7360113359229028,0.9357121271642483
shared,ALS-item,8351,179,0.7280431172641586,0.9507272255693889,0.7009122366327769,0.9182457392385858
shared,no-ALS-item,2547,159,0.7782247605169414,1.0095768049871339,0.7360113359229028,0.9357121271642483
