condition,model,fit_seconds,worker_seconds,peak_gib,iterations,optimizer_history_available,train_raw_rmse
BASE,FM,875.0051552400037,912.5301502520015,9.658706665039062,,False,1.0243162013878793
BASE,RIDGE,45.18245250300242,78.36732332699466,9.302722930908203,150.0,True,1.0235574438970072
BASE,GBT,247.24899632300367,285.84958612700575,9.664749145507812,,False,1.0088463591655024
SUPPORT,FM,880.7910805650026,920.3055013370031,9.852954864501953,,False,1.0239949965344342
SUPPORT,RIDGE,40.195176347995584,68.7338141729997,9.142093658447266,150.0,True,1.0242862501016279
SUPPORT,GBT,303.05239218300267,340.3569412359939,9.867507934570312,,False,1.0104499028264198
CROWD_ITEM,FM,1001.942097433006,1044.2556883979996,9.963088989257812,,False,1.0018051812720759
CROWD_ITEM,RIDGE,42.997462592000375,73.82317367799988,9.458106994628906,150.0,True,0.9952293478016061
CROWD_ITEM,GBT,311.0395071969979,349.8741569740014,10.220745086669922,,False,0.9784989638786458
CROWD_RESPONSE,FM,1078.487717902004,1122.753858127995,10.185222625732422,,False,0.9970387126021296
CROWD_RESPONSE,RIDGE,49.09470642700035,81.33444030900137,10.182071685791016,150.0,True,1.0034631217753027
CROWD_RESPONSE,GBT,848.9838509350011,889.1762682940025,10.59078598022461,,False,0.9817924292432131
