k,method,cohort,metric,users,mean,ci95_low,ci95_high,users_total,users_valid,observations_total,observations_valid,movies_total,movies_valid,comparable_pairs_total,comparable_pairs_valid,reference_pairs_total,reference_pairs_valid,status
1,BASE__GBT,common_k30,als_order,74,0.6170835550145896,0.5388062396467568,0.6922163009663008,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,BASE__GBT,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,BASE__RIDGE,eligible_k,mse,118,0.8493920460843726,0.6782456480683371,1.0355763716502009,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,BASE__RIDGE,eligible_k,mae,118,0.7083354729863115,0.6271614885997737,0.7913093585480188,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,BASE__RIDGE,eligible_k,pa,72,0.6062765607236238,0.527048063482983,0.6837212527041562,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,BASE__RIDGE,eligible_k,als_mae,118,0.7938363263204009,0.6975878060845782,0.8957532649724987,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,BASE__RIDGE,eligible_k,als_order,78,0.6282460775170678,0.556919663569676,0.6969781193496,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,BASE__RIDGE,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,BASE__RIDGE,common_k30,mse,113,0.8556624062655106,0.6789679098428205,1.0504885298198487,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,BASE__RIDGE,common_k30,mae,113,0.7074939226171977,0.6239468055790356,0.7951878577976282,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,BASE__RIDGE,common_k30,pa,68,0.5919515591602142,0.5087530170670206,0.6721668645860965,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,BASE__RIDGE,common_k30,als_mae,113,0.8076940732764651,0.7060835909831116,0.9122832575765459,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,BASE__RIDGE,common_k30,als_order,74,0.6419350546801528,0.571160035878173,0.7095019627740216,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,BASE__RIDGE,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__FM,eligible_k,mse,118,0.7749490887660656,0.6187602700042666,0.9468564128236254,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__FM,eligible_k,mae,118,0.6618629243896349,0.5857481916214021,0.7408094092211681,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__FM,eligible_k,pa,72,0.5774436079276097,0.49100851611710783,0.6634082265426148,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,CROWD_ITEM__FM,eligible_k,als_mae,118,0.8279150209337717,0.7339507292639457,0.9266226433711757,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__FM,eligible_k,als_order,78,0.664293342332038,0.5965635771790203,0.7295477520123526,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__FM,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__FM,common_k30,mse,113,0.7821512243520722,0.6210678622789562,0.9607968684684782,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__FM,common_k30,mae,113,0.6626273970510211,0.5843353197988087,0.7456976544362002,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__FM,common_k30,pa,68,0.5811354354714374,0.49056118103536717,0.6696996456780385,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,CROWD_ITEM__FM,common_k30,als_mae,113,0.8360996054272439,0.7368333789780027,0.9383000611214016,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__FM,common_k30,als_order,74,0.6610119013770129,0.5919749275061141,0.7279501583342861,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__FM,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__GBT,eligible_k,mse,118,0.808372766750206,0.6330490213358809,1.0159966056184568,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__GBT,eligible_k,mae,118,0.6786624770102693,0.5989629714694142,0.7634096929282985,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__GBT,eligible_k,pa,72,0.6958039329416391,0.6199063233538201,0.7678680096363497,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,CROWD_ITEM__GBT,eligible_k,als_mae,118,0.8441071293809674,0.7408600711247307,0.9532916273186153,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__GBT,eligible_k,als_order,78,0.7058315224717506,0.6321338534356904,0.7755393045777552,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__GBT,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__GBT,common_k30,mse,113,0.8130110569950434,0.6295911489503304,1.0291784438946834,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__GBT,common_k30,mae,113,0.6777994516538932,0.5953411445613476,0.7659480719935824,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__GBT,common_k30,pa,68,0.7107298412285888,0.6339471534290119,0.7831617277982346,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,CROWD_ITEM__GBT,common_k30,als_mae,113,0.85429084289765,0.7448428248603177,0.9670633140829082,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__GBT,common_k30,als_order,74,0.698102981858898,0.6223531354781355,0.7702750143985775,113,74,450,411,309,298,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__GBT,common_k30,outside_scale,113,0.0,0.0,0.0,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,eligible_k,mse,118,0.8140817276317026,0.6441193453982267,1.001120597895961,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,eligible_k,mae,118,0.6937485126598859,0.6147430846605827,0.7766638831727446,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,eligible_k,pa,72,0.6429519273513034,0.5614142030185195,0.7225024655845641,118,72,482,427,317,299,1804,1804,2361,2348,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,eligible_k,als_mae,118,0.819228629352144,0.7211431669316334,0.9226840890333745,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,eligible_k,als_order,78,0.6941976377410056,0.6226093938073077,0.760209420873331,118,78,482,442,317,307,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,eligible_k,outside_scale,118,0.0,0.0,0.0,118,118,482,482,317,317,1804,1804,2361,2361,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,common_k30,mse,113,0.8213615430766958,0.6454973664101339,1.0204942179141376,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,common_k30,mae,113,0.695071432497401,0.6144619537097157,0.7824858163162585,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,common_k30,pa,68,0.6457002666819589,0.560436298263307,0.726422366097394,113,68,450,396,309,289,1651,1651,2137,2124,DESCRIPTIVE
1,CROWD_ITEM__RIDGE,common_k30,als_mae,113,0.8288874632868626,0.7249740970455775,0.9361202690021982,113,113,450,450,309,309,1651,1651,2137,2137,DESCRIPTIVE
