level,cohort,method,k,support,metric,users,observed_pairs_all_group_users,mean,status
100,eligible_k,ALS_FM,5,1_9,mse,88,740,0.9390847674654339,DESCRIPTIVE
100,eligible_k,ALS_FM,5,1_9,pa,53,740,0.6042263678167357,DESCRIPTIVE
100,eligible_k,ALS_FM,5,50_PLUS,mse,180,3473,0.6674193354441624,DESCRIPTIVE
100,eligible_k,ALS_FM,5,50_PLUS,pa,156,3473,0.603533944658521,DESCRIPTIVE
100,eligible_k,ALS_FM,10,0,mse,95,605,0.7123794743159948,DESCRIPTIVE
100,eligible_k,ALS_FM,10,0,pa,61,605,0.6011996231772789,DESCRIPTIVE
100,eligible_k,ALS_FM,10,10_49,mse,117,870,0.7005861354067743,DESCRIPTIVE
100,eligible_k,ALS_FM,10,10_49,pa,90,870,0.5786888604821605,DESCRIPTIVE
100,eligible_k,ALS_FM,10,1_9,mse,88,740,0.8754775734799606,DESCRIPTIVE
100,eligible_k,ALS_FM,10,1_9,pa,53,740,0.6176282625072547,DESCRIPTIVE
100,eligible_k,ALS_FM,10,50_PLUS,mse,180,3473,0.6282785751201854,DESCRIPTIVE
100,eligible_k,ALS_FM,10,50_PLUS,pa,156,3473,0.6085951941761508,DESCRIPTIVE
100,eligible_k,ALS_FM,30,0,mse,95,605,0.6963766386541839,DESCRIPTIVE
100,eligible_k,ALS_FM,30,0,pa,61,605,0.5970414433735957,DESCRIPTIVE
100,eligible_k,ALS_FM,30,10_49,mse,117,870,0.6753242243861787,DESCRIPTIVE
100,eligible_k,ALS_FM,30,10_49,pa,90,870,0.5948344838731846,DESCRIPTIVE
100,eligible_k,ALS_FM,30,1_9,mse,88,740,0.834260163341116,DESCRIPTIVE
100,eligible_k,ALS_FM,30,1_9,pa,53,740,0.607265123342639,DESCRIPTIVE
100,eligible_k,ALS_FM,30,50_PLUS,mse,177,3407,0.5777428094720564,DESCRIPTIVE
100,eligible_k,ALS_FM,30,50_PLUS,pa,153,3407,0.6282829993121626,DESCRIPTIVE
100,eligible_k,FM,0,0,mse,133,812,1.0889815414144106,DESCRIPTIVE
100,eligible_k,FM,0,0,pa,78,812,0.605163983289202,DESCRIPTIVE
100,eligible_k,FM,0,10_49,mse,164,1702,1.008547668909551,DESCRIPTIVE
100,eligible_k,FM,0,10_49,pa,122,1702,0.5596206730192514,DESCRIPTIVE
100,eligible_k,FM,0,1_9,mse,122,1227,1.0925595402650983,DESCRIPTIVE
100,eligible_k,FM,0,1_9,pa,67,1227,0.5707219973433826,DESCRIPTIVE
100,eligible_k,FM,0,50_PLUS,mse,265,15219,0.854055902489888,DESCRIPTIVE
100,eligible_k,FM,0,50_PLUS,pa,241,15219,0.5708696210602587,DESCRIPTIVE
100,eligible_k,FM,1,0,mse,95,605,0.7699106223655515,DESCRIPTIVE
100,eligible_k,FM,1,0,pa,61,605,0.5777697762065739,DESCRIPTIVE
100,eligible_k,FM,1,10_49,mse,117,870,0.902110807096511,DESCRIPTIVE
100,eligible_k,FM,1,10_49,pa,90,870,0.5637032537035409,DESCRIPTIVE
100,eligible_k,FM,1,1_9,mse,88,740,1.003594575085234,DESCRIPTIVE
100,eligible_k,FM,1,1_9,pa,53,740,0.5631929286585997,DESCRIPTIVE
100,eligible_k,FM,1,50_PLUS,mse,181,3616,0.7696589794623718,DESCRIPTIVE
100,eligible_k,FM,1,50_PLUS,pa,157,3616,0.5677031710021185,DESCRIPTIVE
100,eligible_k,FM,5,0,mse,95,605,0.7387789982610562,DESCRIPTIVE
100,eligible_k,FM,5,0,pa,61,605,0.5817142263365619,DESCRIPTIVE
