level,method,k,cohort,metric,users,mean,ci95_low,ci95_high,status
25,ALS,10,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS,10,common_k30,prediction_outside_scale,183,0.0063228740727598,0.0013751396286142332,0.013552400101546092,DESCRIPTIVE_CI
25,ALS,30,eligible_k,mse,183,0.6587736025675816,0.5816741992576676,0.7405976335297202,DESCRIPTIVE_CI
25,ALS,30,eligible_k,mae,183,0.6120810935458563,0.5716159901132414,0.6541699229693319,DESCRIPTIVE_CI
25,ALS,30,eligible_k,pa,167,0.6217720869853778,0.5880674755572997,0.654284398262891,DESCRIPTIVE_CI
25,ALS,30,eligible_k,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS,30,eligible_k,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS,30,eligible_k,prediction_outside_scale,183,0.003899657458737249,0.0007906289955735475,0.009015692485947925,DESCRIPTIVE_CI
25,ALS,30,common_k30,mse,183,0.6587736025675816,0.5816741992576676,0.7405976335297202,DESCRIPTIVE_CI
25,ALS,30,common_k30,mae,183,0.6120810935458563,0.5716159901132414,0.6541699229693319,DESCRIPTIVE_CI
25,ALS,30,common_k30,pa,167,0.6217720869853778,0.5880674755572997,0.654284398262891,DESCRIPTIVE_CI
25,ALS,30,common_k30,als_direct,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS,30,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,ALS,30,common_k30,prediction_outside_scale,183,0.003899657458737249,0.0007906289955735475,0.009015692485947925,DESCRIPTIVE_CI
25,FM,0,eligible_k,mse,271,0.9035048696855299,0.8148795152718814,1.0037971115608297,DESCRIPTIVE_CI
25,FM,0,eligible_k,mae,271,0.7424728124270572,0.7057383215623735,0.781620139392106,DESCRIPTIVE_CI
25,FM,0,eligible_k,pa,255,0.5543286268062437,0.5307866137036734,0.5772735075227786,DESCRIPTIVE_CI
25,FM,0,eligible_k,als_direct,271,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,0,eligible_k,actual_movie_support,271,0.9112590938189224,0.8922969732891535,0.928605862140413,DESCRIPTIVE_CI
25,FM,0,eligible_k,prediction_outside_scale,271,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,0,common_k30,mse,183,0.8549525842080761,0.7427437152131317,0.9949291276818022,DESCRIPTIVE_CI
25,FM,0,common_k30,mae,183,0.7135567652252839,0.6662257315466442,0.7666165250853809,DESCRIPTIVE_CI
25,FM,0,common_k30,pa,167,0.5438527617880677,0.5104735770468664,0.5771178374001013,DESCRIPTIVE_CI
25,FM,0,common_k30,als_direct,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,0,common_k30,actual_movie_support,183,0.8771255074512758,0.8506873671633025,0.9015143817040064,DESCRIPTIVE_CI
25,FM,0,common_k30,prediction_outside_scale,183,0.0,0.0,0.0,DESCRIPTIVE_CI
25,FM,1,eligible_k,mse,187,0.8412481735366716,0.7389125701421336,0.9548813556584763,DESCRIPTIVE_CI
