round,role,block,state,row_share,unique_movie_share
0,TRAIN_INPUT,COUNTRY_LANGUAGE,known_only,0.9950613896700734,0.9820176227297248
0,TRAIN_INPUT,ERA_RUNTIME,empty_feature_block,0.0,0.0
0,TRAIN_INPUT,ERA_RUNTIME,oov_only,0.0,0.0
0,TRAIN_INPUT,ERA_RUNTIME,known_and_oov,0.0,0.0
0,TRAIN_INPUT,ERA_RUNTIME,known_only,1.0,1.0
0,TRAIN_INPUT,DIRECTOR,empty_feature_block,0.0,0.0
0,TRAIN_INPUT,DIRECTOR,oov_only,0.7380250131467636,0.8645926991548283
0,TRAIN_INPUT,DIRECTOR,known_and_oov,0.0002743672405514782,0.000539471318108254
0,TRAIN_INPUT,DIRECTOR,known_only,0.2617006196126849,0.13486782952706347
0,TRAIN_INPUT,CAST,empty_feature_block,0.000251503303838855,0.0019780614997302643
0,TRAIN_INPUT,CAST,oov_only,0.37400827674508996,0.6223700773242222
0,TRAIN_INPUT,CAST,known_and_oov,0.6255916043624391,0.3747527423125337
0,TRAIN_INPUT,CAST,known_only,0.00014861558863205065,0.0008991188635137566
0,TRAIN_INPUT,COMPANY_COLLECTION,empty_feature_block,0.0006287582595971374,0.007732422226218306
0,TRAIN_INPUT,COMPANY_COLLECTION,oov_only,0.24424400393259713,0.38859917281064554
0,TRAIN_INPUT,COMPANY_COLLECTION,known_and_oov,0.6617394883050963,0.5171731702931127
0,TRAIN_INPUT,COMPANY_COLLECTION,known_only,0.09338774950270938,0.08649523467002337
0,VALIDATION_TARGET,GENRE,empty_feature_block,6.09186532916379e-05,0.00013633884748227596
0,VALIDATION_TARGET,GENRE,oov_only,0.0,0.0
0,VALIDATION_TARGET,GENRE,known_and_oov,0.0,0.0
0,VALIDATION_TARGET,GENRE,known_only,0.9999390813467084,0.9998636611525177
0,VALIDATION_TARGET,KEYWORD,empty_feature_block,0.08587499492344555,0.17510452644973643
0,VALIDATION_TARGET,KEYWORD,oov_only,0.14764650936116638,0.2323213961097982
0,VALIDATION_TARGET,KEYWORD,known_and_oov,0.7443447183527596,0.5487184148336666
0,VALIDATION_TARGET,KEYWORD,known_only,0.022133777362628438,0.04385566260679876
0,VALIDATION_TARGET,COUNTRY_LANGUAGE,empty_feature_block,0.0,0.0
0,VALIDATION_TARGET,COUNTRY_LANGUAGE,oov_only,0.004670430085692239,0.009770950736229777
0,VALIDATION_TARGET,COUNTRY_LANGUAGE,known_and_oov,0.03261178572879016,0.057125977095073624
0,VALIDATION_TARGET,COUNTRY_LANGUAGE,known_only,0.9627177841855176,0.9331030721686966
0,VALIDATION_TARGET,ERA_RUNTIME,empty_feature_block,0.0,0.0
0,VALIDATION_TARGET,ERA_RUNTIME,oov_only,4.06124355277586e-05,9.089256498818396e-05
0,VALIDATION_TARGET,ERA_RUNTIME,known_and_oov,0.08756041099784755,0.06321577894928194
0,VALIDATION_TARGET,ERA_RUNTIME,known_only,0.9123989765666247,0.9366933284857298
0,VALIDATION_TARGET,DIRECTOR,empty_feature_block,0.0005482678796247411,0.0012270496273404836
0,VALIDATION_TARGET,DIRECTOR,oov_only,0.9045404702920035,0.951599709143792
0,VALIDATION_TARGET,DIRECTOR,known_and_oov,0.0007107176217357755,0.0009089256498818396
0,VALIDATION_TARGET,DIRECTOR,known_only,0.09420054420663607,0.04626431557898564
0,VALIDATION_TARGET,CAST,empty_feature_block,0.016184055557811803,0.031357934920923466
0,VALIDATION_TARGET,CAST,oov_only,0.6579011493319254,0.8129885475368115
0,VALIDATION_TARGET,CAST,known_and_oov,0.3255695894082768,0.1552445009998182
0,VALIDATION_TARGET,CAST,known_only,0.0003452057019859481,0.00040901654244682785
0,VALIDATION_TARGET,COMPANY_COLLECTION,empty_feature_block,0.030276570685944037,0.06207962188692965
0,VALIDATION_TARGET,COMPANY_COLLECTION,oov_only,0.5086098363318848,0.6521087075077259
0,VALIDATION_TARGET,COMPANY_COLLECTION,known_and_oov,0.4193233968241075,0.24018360298127614
0,VALIDATION_TARGET,COMPANY_COLLECTION,known_only,0.0417901961580636,0.045628067624068354
0,VALIDATION_INPUT30,GENRE,empty_feature_block,0.0,0.0
0,VALIDATION_INPUT30,GENRE,oov_only,0.0,0.0
0,VALIDATION_INPUT30,GENRE,known_and_oov,0.0,0.0
0,VALIDATION_INPUT30,GENRE,known_only,1.0,1.0
0,VALIDATION_INPUT30,KEYWORD,empty_feature_block,0.010666666666666666,0.025495750708215296
0,VALIDATION_INPUT30,KEYWORD,oov_only,0.07155555555555555,0.11898016997167139
0,VALIDATION_INPUT30,KEYWORD,known_and_oov,0.9106666666666666,0.8396600566572238
0,VALIDATION_INPUT30,KEYWORD,known_only,0.0071111111111111115,0.01586402266288952
0,VALIDATION_INPUT30,COUNTRY_LANGUAGE,empty_feature_block,0.0,0.0
0,VALIDATION_INPUT30,COUNTRY_LANGUAGE,oov_only,0.0012222222222222222,0.0031161473087818695
0,VALIDATION_INPUT30,COUNTRY_LANGUAGE,known_and_oov,0.014333333333333333,0.026062322946175637
0,VALIDATION_INPUT30,COUNTRY_LANGUAGE,known_only,0.9844444444444445,0.9708215297450425
0,VALIDATION_INPUT30,ERA_RUNTIME,empty_feature_block,0.0,0.0
0,VALIDATION_INPUT30,ERA_RUNTIME,oov_only,0.0,0.0
0,VALIDATION_INPUT30,ERA_RUNTIME,known_and_oov,0.00022222222222222223,0.00028328611898016995
0,VALIDATION_INPUT30,ERA_RUNTIME,known_only,0.9997777777777778,0.9997167138810198
0,VALIDATION_INPUT30,DIRECTOR,empty_feature_block,0.00022222222222222223,0.0005665722379603399
0,VALIDATION_INPUT30,DIRECTOR,oov_only,0.8458888888888889,0.8725212464589235
0,VALIDATION_INPUT30,DIRECTOR,known_and_oov,0.0007777777777777777,0.0011331444759206798
0,VALIDATION_INPUT30,DIRECTOR,known_only,0.15311111111111111,0.12577903682719546
0,VALIDATION_INPUT30,CAST,empty_feature_block,0.0025555555555555557,0.0056657223796034
0,VALIDATION_INPUT30,CAST,oov_only,0.5244444444444445,0.6246458923512748
0,VALIDATION_INPUT30,CAST,known_and_oov,0.47244444444444444,0.36827195467422097
0,VALIDATION_INPUT30,CAST,known_only,0.0005555555555555556,0.00141643059490085
0,VALIDATION_INPUT30,COMPANY_COLLECTION,empty_feature_block,0.004888888888888889,0.01076487252124646
0,VALIDATION_INPUT30,COMPANY_COLLECTION,oov_only,0.37444444444444447,0.4512747875354108
0,VALIDATION_INPUT30,COMPANY_COLLECTION,known_and_oov,0.5797777777777777,0.4951841359773371
0,VALIDATION_INPUT30,COMPANY_COLLECTION,known_only,0.04088888888888889,0.04277620396600566
0,EVALUATION_TARGET,GENRE,empty_feature_block,0.0,0.0
0,EVALUATION_TARGET,GENRE,oov_only,0.0,0.0
0,EVALUATION_TARGET,GENRE,known_and_oov,0.0,0.0
0,EVALUATION_TARGET,GENRE,known_only,1.0,1.0
0,EVALUATION_TARGET,KEYWORD,empty_feature_block,0.03928260238164392,0.08582348853370396
0,EVALUATION_TARGET,KEYWORD,oov_only,0.12510891664246296,0.18997567755385686
0,EVALUATION_TARGET,KEYWORD,known_and_oov,0.8248620389195469,0.702223766504517
0,EVALUATION_TARGET,KEYWORD,known_only,0.010746442056346209,0.021977067407922168
0,EVALUATION_TARGET,COUNTRY_LANGUAGE,empty_feature_block,0.0,0.0
0,EVALUATION_TARGET,COUNTRY_LANGUAGE,oov_only,0.0011617775196049957,0.002432244614315497
0,EVALUATION_TARGET,COUNTRY_LANGUAGE,known_and_oov,0.026139994191112403,0.04291174426685198
0,EVALUATION_TARGET,COUNTRY_LANGUAGE,known_only,0.9726982282892827,0.9546560111188325
0,EVALUATION_TARGET,ERA_RUNTIME,empty_feature_block,0.0,0.0
0,EVALUATION_TARGET,ERA_RUNTIME,oov_only,0.00010891664246296834,0.00026059763724808893
0,EVALUATION_TARGET,ERA_RUNTIME,known_and_oov,0.13992158001742666,0.11501042390548992
0,EVALUATION_TARGET,ERA_RUNTIME,known_only,0.8599695033401104,0.884728978457262
0,EVALUATION_TARGET,DIRECTOR,empty_feature_block,0.00039936102236421724,0.0009555246699096595
0,EVALUATION_TARGET,DIRECTOR,oov_only,0.9010673830961371,0.923036831132731
0,EVALUATION_TARGET,DIRECTOR,known_and_oov,0.0005082776648271856,0.0006080611535788742
