family,group,movies,audience_sum,tmdb_vote_sum,audience_median,tmdb_vote_median,audience_over_vote_ratio_of_totals,counts_spearman,counts_log10_pearson,tmdb_mean_vs_audience_spearman,tmdb_mean_vs_votes_spearman,tmdb_mean_vs_log10_audience_pearson,tmdb_mean_vs_log10_votes_pearson,audience_per_tmdb_vote_p5,audience_per_tmdb_vote_p25,audience_per_tmdb_vote_p50,audience_per_tmdb_vote_p75,audience_per_tmdb_vote_p95,tmdb_votes_per_million_audience_p5,tmdb_votes_per_million_audience_p25,tmdb_votes_per_million_audience_p50,tmdb_votes_per_million_audience_p75,tmdb_votes_per_million_audience_p95
nation,ALL,371,1820359718,2644357,3849424.0,3219.0,688.3940852161792,-0.04588664531774925,-0.07634140937101247,0.23209741289659455,0.2542133966854101,0.23677796247063065,0.20648103745397084,151.32069489990414,298.443561754901,1435.1298456906286,32474.40324498811,107929.99731182796,9.26549398200469,30.80238341630747,696.8010615922835,3351.3427703525376,6608.99795707905
nation,K,181,1002624145,99314,4562322.0,143.0,10095.496556376744,0.4030199403334397,0.3868914990678692,0.163287568883778,0.4494499479658949,0.19188796152685164,0.43763150817179386,2403.9005397070164,17933.633744855968,35378.30370370371,73772.34146341463,134789.45454545456,7.4189780155447815,13.555215683318423,28.265911457346423,55.761147697512065,415.9905884133952
nation,F,190,817735573,2545043,3428090.0,11693.5,321.3052089886104,0.22685772021677234,0.1883442026151053,0.3325065073817358,0.35550396216974645,0.32899182870808313,0.20995215809641152,136.71896156562266,205.9467006515461,304.7244580019599,520.991002794005,1314.232416360318,760.9056112910835,1921.90281965556,3281.6558548680314,4855.628952860884,7316.967456001807
audience_band,0_K,41,111794528,9374,2690447.0,87.0,11926.021762321314,0.11324535051466754,0.09961088856656634,-0.02134239298161042,0.5328861399076575,0.0502271350232913,0.5384643793795051,2709.4128902316215,14544.484536082475,29454.35632183908,75050.5,134789.45454545456,7.4189780155447815,13.324361596525007,33.95083528810796,68.75458511569553,369.08365041199477
audience_band,0_F,74,187123678,833201,2536208.5,11172.0,224.58407755151518,0.03295075897815623,0.07845469381049301,0.06446596766301398,0.4720988093640155,0.08176483067891013,0.31442917667727327,116.96859045202913,165.5813065345017,248.56069504426932,376.28358128402743,689.263930299505,1451.4843073771233,2658.475510024825,4024.1839594200555,6039.338678284289,8549.306439200462
audience_band,1_K,66,258345842,20969,3849291.5,105.0,12320.370165482378,0.03785047734240503,0.0022690385362660794,-0.0035697883248163404,0.3439640060196393,0.05873496394230592,0.3922835983894953,2215.6219679401897,20034.355608840702,37144.060435802225,86756.95315928038,158822.625,6.297647125142302,11.526454885251237,26.93488882604632,49.91600710718735,452.37104275805007
audience_band,1_F,67,256914589,923229,3702538.0,12472.0,278.27829173477005,0.3063692234017081,0.17730966426266134,0.2526065833707914,0.4082931750019561,0.20437717325425925,0.2016582412506863,151.34941733484123,212.56729766850867,291.60888379788724,435.8393300663324,1037.7463013589766,968.9858589793236,2294.423787705712,3429.2508066835694,4706.0306185415175,6608.857967618695
audience_band,2_K,52,351340255,27364,6783035.5,196.5,12839.50646835258,0.1391278365250845,0.1892003339880182,-0.04231064872562514,0.3404282592354297,-0.08889216304944209,0.19254655695487413,3635.4788857890153,18901.402751485803,33866.58797103647,61745.54541041482,97057.6976785714,10.309647297386242,16.210048414889684,29.625260571491552,53.06600148739669,278.31525469049524
audience_band,2_F,39,255915594,569408,6014915.0,12980.0,449.44151469596494,-0.0024291497975708503,-0.042919534470038115,0.37874493927125513,0.029149797570850206,0.3015677786185744,-0.12556732157967182,186.2240572745783,330.1321888223071,546.3361804846346,754.5207877511962,2836.2279878331037,352.7859382110261,1328.0592088865988,1830.37484193878,3029.206391760117,5370.813175628897
audience_band,3_K,22,281143520,41607,12301124.0,413.0,6757.120676809191,-0.3540372670807454,-0.4639632073751349,-0.059288537549407126,0.4319593450028233,-0.20845023397872023,0.506805528242963,1434.4017434964169,15126.531021262886,35398.50362674386,52039.01546971739,99204.35212136855,10.087628069446454,19.216493682045794,29.646591044572034,66.15426082191328,727.8293854743558
audience_band,3_F,10,117781712,219205,11028895.0,21408.0,537.3130722383157,-0.07878787878787878,0.06051157954998819,-0.06686960980480709,0.6322217654272672,-0.14662680623703597,0.3355178854613055,293.2083387616775,394.3195860784001,533.9098614669339,1075.348374255541,2251.803279814866,523.9370058392991,969.0654251586055,1886.1923399434918,2539.664241923322,3488.2764734717234
kobis_open_year,2004_2009_K,28,139303873,12978,3883953.0,106.0,10733.847511172753,0.5129328089638331,0.4529182917673696,0.058863796887209774,0.4920591641206058,-0.05769193564620065,0.3599586589324381,2209.6093899409166,16927.94818952234,45857.23469387755,81903.39982110912,191553.5710526315,5.338757354611222,12.222997795199671,22.028010622328253,59.108313488279094,490.91375044149993
kobis_open_year,2004_2009_F,35,136060687,466249,3217826.0,11466.0,291.8197937153753,0.3011204481792717,0.3827277852738675,0.10574970261943975,0.7507528556823801,0.09234605677229547,0.7445130982157109,142.51366619832982,192.90850636846284,289.4951216421693,532.2116601677003,801.6401442440512,1248.1929429068875,1878.954319420971,3454.2896416612193,5184.193078428361,7016.870956796099
kobis_open_year,2010_2019_K,124,685224479,77388,4592050.5,148.5,8854.402219982427,0.4220276174633707,0.4223738911928845,0.17405822724102837,0.5404798474183748,0.23176033312848568,0.5297291561649037,2750.8771681506228,18446.88094617112,31236.2205017205,58105.41794871795,110611.58870967741,9.040859767149172,17.211731715050195,32.01557022414484,54.51949699127837,363.9581983346108
